| 日期    | M2（亿元） | M1（亿元） | M0（亿元） |
| ------- | ---------- | ---------- | ---------- |
| 2025-01 | 3185247.18 | 1124457.45 | 142254.48  |
| 2025-02 | 3205173.24 | 1094370.01 | 132756.61  |
| 2025-03 | 3260554.57 | 1134863.10 | 130691.86  |
| 2025-04 | 3251739.32 | 1091407.33 | 131387.01  |
| 2025-05 | 3257838.11 | 1089147.65 | 131258.52  |
| 2025-06 | 3302868.17 | 1139494.08 | 131827.18  |
| 2025-07 | 3299429.06 | 1105586.92 | 132844.80  |
| 2025-08 | 3319831.44 | 1112255.71 | 133402.29  |
| 2025-09 | 3353771.03 | 1113145.07 | 135813.36  |
| 2025-10 | 3351312.31 | 1119962.73 | 135478.14  |
| 2025-11 | 3369890.52 | 1128866.64 | 137369.38  |
| 2025-12 | 3402948.06 | 1155146.50 | 141261.37  |
| 2026-01 | 3471860.39 | 1179680.52 | 146138.60  |
| 2026-02 | 3492159.91 | 1159258.82 | 151436.41  |
| 2026-03 | 3538636.53 | 1193202.99 | 147082.81  |
| 2026-04 | 3530425.21 | 1145833.73 | 147477.38  |
| 2026-05 | 3536688.92 | 1148891.41 | 146854.71  |
| 2026-06 | 3567108.43 | 1184775.53 | 147364.79  |
